ID	HT
a	196.25
a12	137.5
a15	143.0
a155	149.75
a171	166.0
a188	154.5
a208	147.5
a239	187.6667
a258	168.0
a305	170.75
a321	151.0
a322	162.25
a334	158.25
a374	167.75
a385	184.0
a401	150.0
a427	154.75
a554	140.0
a627	166.0
a632	191.0
a635	144.25
a648	179.0
a649	134.5
a651	106.55
a659	172.0
a661	171.5
a663	177.5
a673	131.0
a674	164.25
a679	181.25
a680	198.5
a682	177.5
a71	181.0
a73	148.0
ar228	203.0
as5707	215.75
b-18_inbr.fr.supergold	173.0
b10	201.3333
b101	185.0
b103	163.6667
b104	177.0
b105	183.5
b106	206.0
b107	172.5
b108	185.25
b109	198.0
b110	218.75
b111	214.25
b112	175.75
b113	172.25
b114	160.625
b115	190.2
b119	173.0
b120	218.0
b121	183.25
b14a	195.0
b164	194.75
b2	186.75
b37	205.0
b42	184.75
b52	173.5
b54	179.0
b64	191.25
b66	201.5
b68	200.75
b7	181.0
b73	202.75
b75	195.25
b77	201.25
b79	165.0
b8	169.5
b84	199.5
b85	186.0
b87	180.5
b88	186.25
b90	180.25
b91	190.25
b97	209.5
b98	212.75
b99	222.375
c102	239.5
c103	183.0
c123	145.0
c15	142.25
c42	138.5
c49a	143.75
c68	166.0
cg10	131.0
cg106	180.0
cg108	174.0
cg65	183.5
ch157	158.25
ch701-30	182.3333
ch753-4	136.5
ch9	174.3333
chi-tan_120	169.75
ci187-2	177.75
ci21e	192.0
ci31a	163.5
ci64	193.0
ci90c	168.6667
ci91b	167.875
cl17	95.375
cl18	105.0
cl22	114.5
cl27	112.6667
cm105	160.5
cm174	136.75
cm48	174.5
cm7	137.5
cm99	167.25
co106	176.25
co117	125.3333
co125	153.75
co158	137.0
co192	141.75
co216	178.5
co236	168.75
co237	137.0
co245	157.75
co255	172.75
co256	130.0
co257	141.5
co258	163.0
cr_22_inbred	199.0
cr1ht	170.0
csj3	138.0
de3	161.75
de4	205.0
de811	206.3333
dk4676a	179.75
dk78371a	184.0
dkfbhj	208.5
dkhba1	190.0
dkib014	175.5
dkib02	176.5
dkmbna	186.75
dkmbpm	202.75
dkmfd-13d	182.0
dkpb80	189.5
east_028	155.5
eng-li_chih	180.5
ep1	130.6667
f115	144.25
f2834t	161.3333
f431	159.7
f44	174.3333
f7	121.0
fc46	146.0
fr19	163.0
g22_t122	143.0
g3_t5a	146.6667
g80	180.5
ge129	175.0
ge54	147.25
h110	203.25
h113	139.0
h114	160.25
h121	158.75
h122w	199.5
h124w	185.5
h14	190.75
h49	179.0
h5	193.25
h52	187.0
h71	169.5
h84	198.5
h91	182.75
h95	169.75
h96	188.5
h99	120.0
hp301	196.25
hp72-11	168.75
hy	199.3333
i159	187.0
i29	155.0
ia5125b	158.6667
ids69	145.25
il14h	185.3333
il778d	174.25
k150	193.25
k155	214.75
k201	179.0
k4	200.0
k41	185.25
k47	145.25
k55	173.75
k64	192.3333
ki21	198.0
ki43	173.5
kung-70	143.5
ky21	199.6667
ky226	195.0
ky228	211.5
l_289	219.5
l317	208.6667
lh123ht	218.25
lh143_(maintainer)	180.0
lh145	170.0
lh149	167.5
lh38	132.0
lh39	159.25
lh59	163.25
lh60	201.75
lh61	148.4375
lh82	153.25
lh93	178.75
lp5	157.25
m14	161.3333
mo15w	171.75
mo17	191.25
mo23w	219.75
mo24w	221.0
