,YLD
0,0.945
1,2.715
2,2.21
3,0.695
4,1.855
5,0.94
6,2.38
7,0.93
8,0.845
9,0.55
10,0.67
11,0.94
12,1.155
13,1.915
14,1.23
15,0.57
16,1.055
17,1.125
18,1.255
19,1.275
20,1.315
21,1.64
22,1.01
23,1.075
24,2.085
25,2.625
26,1.19
27,1.625
28,0.42
29,0.49
30,1.47
31,1.055
32,1.66
33,0.735
34,1.675
35,1.615
36,2.585
37,1.555
38,2.105
39,1.635
40,2.475
41,1.89
42,0.79
43,2.045
44,1.73
45,1.41
46,3.03
47,2.4
48,2.295
49,1.625
50,2.12
51,2.765
52,2.765
53,2.335
54,1.3
55,2.095
56,1.38
57,1.515
58,2.015
59,2.49
60,2.445
61,2.66
62,2.105
63,1.3
64,2.59
65,2.61
66,2.52
67,1.205
68,2.595
69,1.99
70,2.7
71,1.285
72,2.26
73,2.445
74,1.71
75,1.795
76,0.855
77,2.585
78,1.88
79,1.89
80,1.825
81,2.655
82,1.64
83,2.845
84,2.225
85,2.355
86,2.83
87,2.065
88,1.54
89,0.27
90,0.66
91,0.745
92,1.46
93,1.04
94,2.685
95,3.195
96,2.675
97,1.11
98,1.445
99,1.57
100,2.91
101,1.88
102,1.97
103,3.71
104,1.64
105,1.64
106,1.9
107,1.91
108,0.255
109,0.45
110,0.745
111,0.5
112,1.485
113,1.185
114,0.945
115,0.955
116,1.115
117,2.81
118,1.155
119,1.005
120,0.885
121,0.83
122,1.32
123,0.98
124,1.565
125,1.035
126,0.77
127,1.975
128,1.9
129,2.495
130,1.27
131,1.755
132,1.025
133,1.22
134,1.865
135,2.12
136,2.44
137,1.895
138,1.705
139,2.27
140,2.42
141,0.885
142,1.825
143,1.665
144,2.055
145,2.84
146,1.735
147,1.13
148,0.555
149,0.91
150,2.23
151,0.78
152,1.77
153,0.995
154,0.765
155,0.465
156,0.945
157,0.535
158,2.465
159,2.33
160,1.345
161,2.205
162,1.855
163,0.88
164,1.93
165,2.355
166,2.68
167,2.85
168,2.26
169,2.24
170,2.895
171,2.065
172,2.45
173,1.83
174,1.73
175,3.145
176,0.92
177,1.88
178,1.91
179,1.795
180,1.54
181,1.28
182,1.425
183,0.825
184,1.765
185,0.5
186,1.635
187,3.275
188,2.225
189,2.74
190,1.685
191,0.36
192,1.215
193,2.045
194,3.095
195,2.815
196,1.19
197,2.35
198,2.32
199,2.37
200,2.255
201,2.0
202,2.94
203,1.855
204,1.46
205,1.36
206,0.77
207,1.2
208,1.485
209,1.875
210,0.625
211,1.46
212,1.645
213,1.385
214,1.365
215,1.445
216,2.3
217,4.03
218,1.975
219,2.35
220,2.8
221,1.315
222,2.545
223,2.435
224,1.505
225,0.82
226,3.47
227,3.16
228,2.765
229,1.47
230,1.14
231,0.475
232,1.02
233,1.775
234,1.705
235,1.88
236,2.015
237,2.185
238,2.57
239,1.965
240,3.275
241,1.275
242,0.885
243,1.78
244,2.085
245,2.755
246,2.705
247,2.97
248,2.18
249,2.48
250,2.1
251,2.33
252,2.635
253,2.435
254,2.565
255,2.92
256,1.04
257,1.715
258,2.275
259,3.555
260,1.85
261,2.58
262,3.655
263,3.955
264,3.03
265,3.42
266,2.155
267,2.42
268,2.19
269,1.755
270,0.53
271,0.37
272,0.575
273,0.72
274,0.875
275,0.365
276,0.845
277,0.21
278,0.955
279,0.785
280,0.31
281,2.435
282,1.63
283,1.735
284,0.985
285,1.865
286,2.21
287,1.68
288,1.02
289,1.26
290,2.87
291,1.56
292,1.575
293,0.435
294,2.515
295,1.585
296,1.275
297,2.06
298,2.835
299,1.59
300,1.325
301,0.765
302,2.72
303,0.88
304,1.755
305,1.505
306,2.43
307,1.29
308,1.665
309,2.455
310,2.565
311,1.23
312,2.45
313,1.46
314,1.79
315,2.01
316,1.475
317,3.38
318,0.83
319,1.86
320,1.705
321,4.04
322,2.875
323,3.705
324,2.535
325,2.845
326,2.245
327,0.73
328,3.015
329,1.85
330,0.59
331,2.555
332,1.21
333,1.87
334,1.915
335,2.01
336,2.125
337,1.88
338,2.35
339,1.545
340,1.16
341,0.97
342,2.27
343,2.19
344,0.96
345,2.055
346,2.085
347,1.41
348,0.21
349,1.645
350,1.965
351,1.325
352,2.12
353,3.18
354,2.675
355,1.655
356,0.485
357,0.265
358,1.595
359,1.135
360,1.3
361,2.61
362,0.94
363,1.785
364,1.445
365,0.54
366,1.28
367,1.205
368,1.89
369,3.32
370,1.815
371,1.875
372,0.46
373,2.115
374,1.9
375,1.51
376,1.945
377,1.195
378,1.545
379,0.375
380,1.07
381,1.8
382,2.035
383,0.925
384,0.885
385,1.67
386,1.57
387,1.46
