,2018
0,16.07
1,23.2
2,27.26
3,17.4
4,15.5
5,13.48
6,26.53
7,23.65
8,21.19
9,20.31
10,22.95
11,11.9
12,11.57
13,15.56
14,18.69
15,20.77
16,23.16
17,8.38
18,20.11
19,18.44
20,20.65
21,24.54
22,25.72
23,14.76
24,19.31
25,11.88
26,27.26
27,11.7
28,13.67
29,20.05
30,19.43
31,19.43
32,18.38
33,16.48
34,15.61
35,23.68
36,15.29
37,18.8
38,29.73
39,18.58
40,19.02
41,17.58
42,19.43
43,18.76
44,21.06
45,16.78
46,29.8
47,23.76
48,19.43
49,23.93
50,19.77
51,15.61
52,22.74
53,19.93
54,23.4
55,15.56
56,13.29
57,23.68
58,18.17
59,19.43
60,12.43
61,31.8
62,23.76
63,18.4
64,17.81
65,23.76
66,14.01
67,20.75
68,20.62
69,18.97
70,19.73
71,19.49
72,18.19
73,19.43
74,15.22
75,22.68
76,19.79
77,18.8
78,29.32
79,20.53
80,13.81
81,19.17
82,19.38
83,20.71
84,12.39
85,19.74
86,10.71
87,20.02
88,12.38
89,21.82
90,19.43
91,16.53
92,15.22
93,17.28
94,18.68
95,13.29
96,19.91
97,15.85
98,19.09
99,20.63
100,14.91
101,15.69
102,14.57
103,14.52
104,14.4
105,29.32
106,18.97
107,19.93
108,19.54
109,16.5
110,25.42
111,20.07
112,17.24
113,20.17
114,19.93
115,21.01
116,23.76
117,15.11
118,19.43
119,26.21
120,27.26
121,19.45
122,20.49
123,32.58
124,18.76
125,20.01
126,25.55
127,20.51
128,19.43
129,16.07
130,19.73
131,16.53
132,23.61
133,19.04
134,18.97
135,23.76
136,11.38
137,25.49
138,16.37
139,18.58
140,23.81
141,12.96
142,22.4
143,20.05
144,24.64
145,20.62
146,20.77
147,10.07
148,14.64
149,21.1
150,14.79
151,21.01
152,19.62
153,23.22
154,31.25
155,29.45
156,15.32
157,21.19
158,17.24
159,24.53
160,12.66
161,16.37
162,14.22
163,22.15
164,23.48
165,18.18
166,20.63
167,16.9
168,21.65
169,29.42
170,19.43
171,19.61
172,16.21
173,15.56
174,19.43
175,13.48
176,19.43
177,17.51
178,18.25
179,11.55
180,19.69
181,16.48
182,20.37
183,17.07
184,18.29
185,19.93
186,29.58
187,18.19
188,19.43
189,15.69
190,19.97
191,16.64
192,29.67
193,14.88
194,20.17
195,31.23
196,13.81
197,20.26
198,16.51
199,17.8
200,20.17
201,13.29
202,16.62
203,28.19
204,10.85
205,19.43
206,23.76
207,18.97
208,28.38
209,13.43
210,19.76
211,35.39
212,13.57
213,8.97
214,26.43
215,13.28
216,30.42
217,17.11
218,19.43
219,20.71
220,19.46
221,16.62
222,19.93
223,23.19
224,31.8
225,16.73
226,19.63
227,22.4
228,26.73
229,18.62
230,16.87
231,19.17
232,26.4
233,21.84
234,21.34
235,16.23
236,18.17
237,31.23
238,15.43
239,23.76
240,16.21
241,19.71
242,22.59
243,21.84
244,19.91
245,14.57
246,17.58
247,15.65
248,21.46
249,17.94
250,23.4
251,15.34
252,20.82
253,15.82
254,27.33
255,20.46
256,22.96
257,14.64
258,13.6
259,19.97
260,11.46
261,24.54
262,19.43
263,19.01
264,15.1
265,17.74
266,14.79
267,15.11
268,16.57
269,17.11
270,19.43
271,36.78
272,20.87
273,23.96
274,13.23
275,20.17
276,22.84
277,20.17
278,21.07
279,18.93
280,16.53
281,21.01
282,19.76
283,19.43
284,11.9
285,17.11
286,19.43
287,21.84
288,31.23
289,21.19
290,17.34
291,23.48
292,21.19
293,19.69
294,17.13
295,19.48
296,24.01
297,32.58
298,29.32
299,16.48
300,16.51
301,28.36
302,15.69
303,19.11
304,21.19
305,18.38
306,18.97
307,21.53
